,Name,Industry,paid_leave_weeks_woman,unpaid_leave_weeks_woman,paid_leave_weeks_man,unpaid_leave_weeks_man
0,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
1,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
2,Army (British),Government: Federal,39.0,13.0,2.0,
3,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
4,Zurich,Insurance: Life,29.0,,0.0,
5,Etsy,Technology: Consumer Internet,26.0,,26.0,
6,Spotify,Technology: Consumer Internet,26.0,,26.0,
7,Adobe Systems,Technology: Software,26.0,6.0,10.0,
8,AO.com,Retail: Online,26.0,,,
9,Morrison & Foerster LLP,Law Firm,26.0,,,
10,Organizer Inc.,Technology: Software,26.0,,,
11,Worldpay,Technology: Payments,26.0,,,
12,Zynga,Technology: Gaming,26.0,12.0,12.0,
13,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
14,72andsunny,Advertising,24.0,,4.0,
15,Motorola Mobility,Technology: Manufacturing,24.0,,,
16,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
17,ZestFinance,Finance: Loans,24.0,,,
18,World First,Services: Other,24.0,4.0,2.0,
19,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
20,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
21,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
22,Army (British),Government: Federal,39.0,13.0,2.0,
23,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
24,Zurich,Insurance: Life,29.0,,0.0,
25,Etsy,Technology: Consumer Internet,26.0,,26.0,
26,Spotify,Technology: Consumer Internet,26.0,,26.0,
27,Adobe Systems,Technology: Software,26.0,6.0,10.0,
28,AO.com,Retail: Online,26.0,,,
29,Morrison & Foerster LLP,Law Firm,26.0,,,
30,Organizer Inc.,Technology: Software,26.0,,,
31,Worldpay,Technology: Payments,26.0,,,
32,Zynga,Technology: Gaming,26.0,12.0,12.0,
33,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
34,72andsunny,Advertising,24.0,,4.0,
35,Motorola Mobility,Technology: Manufacturing,24.0,,,
36,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
37,ZestFinance,Finance: Loans,24.0,,,
38,World First,Services: Other,24.0,4.0,2.0,
39,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
40,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
41,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
42,Army (British),Government: Federal,39.0,13.0,2.0,
43,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
44,Zurich,Insurance: Life,29.0,,0.0,
45,Etsy,Technology: Consumer Internet,26.0,,26.0,
46,Spotify,Technology: Consumer Internet,26.0,,26.0,
47,Adobe Systems,Technology: Software,26.0,6.0,10.0,
48,AO.com,Retail: Online,26.0,,,
49,Morrison & Foerster LLP,Law Firm,26.0,,,
50,Organizer Inc.,Technology: Software,26.0,,,
51,Worldpay,Technology: Payments,26.0,,,
52,Zynga,Technology: Gaming,26.0,12.0,12.0,
53,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
54,72andsunny,Advertising,24.0,,4.0,
55,Motorola Mobility,Technology: Manufacturing,24.0,,,
56,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
57,ZestFinance,Finance: Loans,24.0,,,
58,World First,Services: Other,24.0,4.0,2.0,
59,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
60,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
61,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
62,Army (British),Government: Federal,39.0,13.0,2.0,
63,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
64,Zurich,Insurance: Life,29.0,,0.0,
65,Etsy,Technology: Consumer Internet,26.0,,26.0,
66,Spotify,Technology: Consumer Internet,26.0,,26.0,
67,Adobe Systems,Technology: Software,26.0,6.0,10.0,
68,AO.com,Retail: Online,26.0,,,
69,Morrison & Foerster LLP,Law Firm,26.0,,,
70,Organizer Inc.,Technology: Software,26.0,,,
71,Worldpay,Technology: Payments,26.0,,,
72,Zynga,Technology: Gaming,26.0,12.0,12.0,
73,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
74,72andsunny,Advertising,24.0,,4.0,
75,Motorola Mobility,Technology: Manufacturing,24.0,,,
76,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
77,ZestFinance,Finance: Loans,24.0,,,
78,World First,Services: Other,24.0,4.0,2.0,
79,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
80,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
81,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
82,Army (British),Government: Federal,39.0,13.0,2.0,
83,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
84,Zurich,Insurance: Life,29.0,,0.0,
85,Etsy,Technology: Consumer Internet,26.0,,26.0,
86,Spotify,Technology: Consumer Internet,26.0,,26.0,
87,Adobe Systems,Technology: Software,26.0,6.0,10.0,
88,AO.com,Retail: Online,26.0,,,
89,Morrison & Foerster LLP,Law Firm,26.0,,,
90,Organizer Inc.,Technology: Software,26.0,,,
91,Worldpay,Technology: Payments,26.0,,,
92,Zynga,Technology: Gaming,26.0,12.0,12.0,
93,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
94,72andsunny,Advertising,24.0,,4.0,
95,Motorola Mobility,Technology: Manufacturing,24.0,,,
96,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
97,ZestFinance,Finance: Loans,24.0,,,
98,World First,Services: Other,24.0,4.0,2.0,
99,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
100,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
101,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
102,Army (British),Government: Federal,39.0,13.0,2.0,
103,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
104,Zurich,Insurance: Life,29.0,,0.0,
105,Etsy,Technology: Consumer Internet,26.0,,26.0,
106,Spotify,Technology: Consumer Internet,26.0,,26.0,
107,Adobe Systems,Technology: Software,26.0,6.0,10.0,
108,AO.com,Retail: Online,26.0,,,
109,Morrison & Foerster LLP,Law Firm,26.0,,,
110,Organizer Inc.,Technology: Software,26.0,,,
111,Worldpay,Technology: Payments,26.0,,,
112,Zynga,Technology: Gaming,26.0,12.0,12.0,
113,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
114,72andsunny,Advertising,24.0,,4.0,
115,Motorola Mobility,Technology: Manufacturing,24.0,,,
116,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
117,ZestFinance,Finance: Loans,24.0,,,
118,World First,Services: Other,24.0,4.0,2.0,
119,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
120,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
121,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
122,Army (British),Government: Federal,39.0,13.0,2.0,
123,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
124,Zurich,Insurance: Life,29.0,,0.0,
125,Etsy,Technology: Consumer Internet,26.0,,26.0,
